uuid,code,name,country,altCodes
53a694c3-1c30-4aaf-a20f-593d6a791d89,CDZMTU,"Museum of Zoology, Central Department of Zoology",NP,[]
3448c872-18f9-4d70-8237-148cd1d87b3f,NHMTU,"Natural History Museum, Tribhuvan University",NP,[]
2bf398f7-44e2-4a02-8134-4f96b8c2ca95,IITABJ,The International Institute of Tropical Agriculture (IITA)-Benin,BJ,[]
23e0159b-30ed-4968-803c-190d60e11f20,MCCNNUTA,Museo de Universidad Técnica de Ambato,EC,['MCNUTA']
57a6e7b4-9fde-4efb-be3b-b800a6dd72f5,QPLS,Herbario Padre Luis Sodiro (QPLS),EC,['BEAEP']
e2b05470-4927-4d35-8e6f-4b82fbd8e8e3,MNAFAD,Museo Náutico Farallón Dillon,EC,[]
163cbdcb-5aca-4746-967a-6dd254c99a1f,GADM,Museo de fauna Silvestre del Cantón Montúfar,EC,[]
4f8530a9-9d35-4290-a4c4-ca446d0800a3,MR,Museo Rumiñahui,EC,[]
d4e731a5-38fc-4108-9bb7-f16f0ff55a91,QCAM,Fungario QCAM de la Pontificia Universidad Católica del Ecuador,EC,[]
aba8fa5c-1e47-4d86-a93a-7f267784e478,MHVSUEB,Museo Héctor Vásquez Salazar de la Unidad Educativa Bolivar,EC,[]
6c782bd1-8965-4911-8ae3-5849ff812d30,USTM,University of Santo Tomas Museum,PH,[]
10d0f31d-3b6e-4125-b96c-7d8fadf6e184,HISTS,Herbario William Kirby del Instituto Superior Tecnológico Sudamericano,EC,[]
493fe524-a02f-4552-b8cf-1aa9560d1bc0,MZUTI,"Museo de Zoología, Universidad Tecnológica Indoamérica (MZUTI)",EC,[]
139adf78-6c9d-4ef3-bc82-25995ad945b6,CBUMAG,Universidad del Magdalena,CO,[]
f613f2d6-6ece-4626-a032-a829cf59b7b7,UEPB,Universidade Estadual da Paraíba,BR,['CCBSA']
c89ae698-eeb8-4410-b579-8f548f0e315c,CIREV,Centro de Investigación en Enfermedades Infecciosas y Vectoriales,EC,['INSPI']
46bd6369-a61e-49c4-9876-b97d8d33e55e,NaFIRRI,National Fisheries Resources Research Institute (NaFIRRI),UG,[]
b16177b5-0ba5-42e4-a700-b03b68677a4b,NDU,Niger Delta University,NG,[]
45e5c4f1-59bd-49c1-8002-19781e1d41a6,LMWM,Lebanese Marine and Wildlife Museum,LB,[]
