taxonID,parent,synonymOf,name,authorship,taxonRank,status
3803418,,7300199,Cestrum dumetorum phyllobotryon,Dunal,variety,synonym
3801293,,7300199,Cestrum semivestitum,Dunal,species,synonym
3802578,,7300199,Cestrum laxiflorum,Francey,species,heterotypic synonym
7641396,,7300199,Cestrum dumetorum phyllobotryon,Francey,variety,synonym
3802920,,7300199,Cestrum honduronicaraguense,C.Nelson,species,synonym
8544087,,7300035,Cestrum paraguayense,Hassl.,species,homotypic synonym
8468591,,7300035,Cestrum sendtnerianum,Mart.,species,homotypic synonym
7299238,,7300035,Cestrum bogotense,Willd. ex Roem. & Schult.,species,synonym
3801287,,7300035,Cestrum sendtnerianum,Mart. ex Sendtn.,species,synonym
3801913,,7300035,Cestrum paraguayense,Hassl. ex Francey,species,synonym
3796775,,7300035,Cestrum diversifolium,Francey,species,synonym
8525820,,7300035,Cestrum bogotense,Willd.,species,homotypic synonym
3797398,,7300035,Cestrum bogotense latifolium,Francey,variety,synonym
3803231,,7300035,Cestrum flavovirens,Witasek,species,synonym
3802720,,7300035,Cestrum laevigatum flaviflora,Chodat & Hassl.,form,synonym
8086851,,7300035,Cestrum laevigatum flaviflora,Chodat & Hassl.,subspecies,synonym
3802911,,3802511,Cestrum hortulanum,Britton & P.Wilson,species,synonym
3802377,,7300035,Cestrum mariquitense latifolium,(Francey) Standl. & C.V.Morton,variety,synonym
8696997,,3801719,Cestrum venosum,Willd.,species,homotypic synonym
3800768,,3801719,Cestrum venosum,Willd. ex Roem. & Schult.,species,synonym
3802238,,3801719,Cestrum moritzianum,Klotzsch & H.Karst. ex Francey,species,synonym
3797218,,3801719,Cestrum calycosum,Pittier,species,synonym
8507209,,3801719,Cestrum moritzianum,Klotzsch & H.Karst.,species,homotypic synonym
3797252,,3801719,Cestrum caloneurum,Pittier,species,synonym
3796951,,3801719,Sessea petiolaris,(Kunth) Spreng.,species,synonym
12388915,,2928785,Cestrum salicifolium angustifolium,Dunal,variety,proparte synonym
3801210,,2928794,Cestrum spigelioides,Zuccarini ex Francey,species,synonym
8441057,,2928794,Habrothamnus elegans,Scheidw.,species,homotypic synonym
7685287,,2928794,Habrothamnus elegans,Scheidw. ex Walp.,species,heterotypic synonym
8636219,,2928794,Cestrum spigelioides,Zuccarini,species,homotypic synonym
3803171,,2928794,Habrothamnus newellii,H.J.Veitch,species,synonym
7613119,,2928794,Habrothamnus newelli,Gardner,species,synonym
5581223,,2928794,Meyenia fasciculata,Schltdl.,species,synonym
3803175,,2928794,Habrothamnus magnificus,Francey,species,synonym
3803127,,2928794,Habrothamnus zephirinae,Francey,species,synonym
7471406,,2928794,Cestrum newellii,(Veitch) G.Nicholson,species,synonym
11285165,,2928794,Habrothamnus fasciculatus,(Schltdl.) Endl. ex Walp.,species,synonym
7432216,,2928794,Habrothamnus fasciculatus,(Schltdl.) Brongn.,species,heterotypic synonym
11225646,,2928794,Habrothamnus fasciculatus,(Schltdl.) M.Martens & Galeotti,species,synonym
11013541,,2928794,Habrothamnus fasciculatus,(Schltdl.) Endl.,species,synonym
3800626,,3803260,Cestrum wrightianum,P.Wilson,species,synonym
3796872,,3802392,Sessea weberbaueri,Bitter,species,synonym
11235789,,2928787,Cestrum candidum,VanHoutte ex Schltdl.,species,synonym
7407351,,2928787,Cestrum angustifolium,G.Lodd.,species,synonym
11291069,,2928787,Cestrum latifolium,Bello,species,synonym
7431360,,2928787,Cestrum alternoides lanceolatum,Dunal,variety,synonym
7547913,,2928787,Cestrum venenatum,Lam.,species,heterotypic synonym
11343597,,2928787,Cestrum candidum,VanHoutte,species,homotypic synonym
