taxonID,parent,synonymOf,name,authorship,taxonRank,status,genus,specificEpithet,infraspecificEpithet
3803418,,7300199.0,Cestrum dumetorum phyllobotryon,Dunal,variety,synonym,Cestrum,dumetorum,phyllobotryon
3801293,,7300199.0,Cestrum semivestitum,Dunal,species,synonym,Cestrum,semivestitum,
3802578,,7300199.0,Cestrum laxiflorum,Francey,species,heterotypic synonym,Cestrum,laxiflorum,
7641396,,7300199.0,Cestrum dumetorum phyllobotryon,Francey,variety,synonym,Cestrum,dumetorum,phyllobotryon
3802920,,7300199.0,Cestrum honduronicaraguense,C.Nelson,species,synonym,Cestrum,honduronicaraguense,
8544087,,7300035.0,Cestrum paraguayense,Hassl.,species,homotypic synonym,Cestrum,paraguayense,
8468591,,7300035.0,Cestrum sendtnerianum,Mart.,species,homotypic synonym,Cestrum,sendtnerianum,
7299238,,7300035.0,Cestrum bogotense,Willd. ex Roem. & Schult.,species,synonym,Cestrum,bogotense,
3801287,,7300035.0,Cestrum sendtnerianum,Mart. ex Sendtn.,species,synonym,Cestrum,sendtnerianum,
3801913,,7300035.0,Cestrum paraguayense,Hassl. ex Francey,species,synonym,Cestrum,paraguayense,
3796775,,7300035.0,Cestrum diversifolium,Francey,species,synonym,Cestrum,diversifolium,
8525820,,7300035.0,Cestrum bogotense,Willd.,species,homotypic synonym,Cestrum,bogotense,
3797398,,7300035.0,Cestrum bogotense latifolium,Francey,variety,synonym,Cestrum,bogotense,latifolium
3803231,,7300035.0,Cestrum flavovirens,Witasek,species,synonym,Cestrum,flavovirens,
3802720,,7300035.0,Cestrum laevigatum flaviflora,Chodat & Hassl.,form,synonym,Cestrum,laevigatum,flaviflora
8086851,,7300035.0,Cestrum laevigatum flaviflora,Chodat & Hassl.,subspecies,synonym,Cestrum,laevigatum,flaviflora
3802911,,3802511.0,Cestrum hortulanum,Britton & P.Wilson,species,synonym,Cestrum,hortulanum,
3802377,,7300035.0,Cestrum mariquitense latifolium,(Francey) Standl. & C.V.Morton,variety,synonym,Cestrum,mariquitense,latifolium
8696997,,3801719.0,Cestrum venosum,Willd.,species,homotypic synonym,Cestrum,venosum,
3800768,,3801719.0,Cestrum venosum,Willd. ex Roem. & Schult.,species,synonym,Cestrum,venosum,
3802238,,3801719.0,Cestrum moritzianum,Klotzsch & H.Karst. ex Francey,species,synonym,Cestrum,moritzianum,
3797218,,3801719.0,Cestrum calycosum,Pittier,species,synonym,Cestrum,calycosum,
8507209,,3801719.0,Cestrum moritzianum,Klotzsch & H.Karst.,species,homotypic synonym,Cestrum,moritzianum,
3797252,,3801719.0,Cestrum caloneurum,Pittier,species,synonym,Cestrum,caloneurum,
3796951,,3801719.0,Sessea petiolaris,(Kunth) Spreng.,species,synonym,Sessea,petiolaris,
12388915,,2928785.0,Cestrum salicifolium angustifolium,Dunal,variety,proparte synonym,Cestrum,salicifolium,angustifolium
3801210,,2928794.0,Cestrum spigelioides,Zuccarini ex Francey,species,synonym,Cestrum,spigelioides,
8441057,,2928794.0,Habrothamnus elegans,Scheidw.,species,homotypic synonym,Habrothamnus,elegans,
7685287,,2928794.0,Habrothamnus elegans,Scheidw. ex Walp.,species,heterotypic synonym,Habrothamnus,elegans,
8636219,,2928794.0,Cestrum spigelioides,Zuccarini,species,homotypic synonym,Cestrum,spigelioides,
3803171,,2928794.0,Habrothamnus newellii,H.J.Veitch,species,synonym,Habrothamnus,newellii,
